,0
catchment_hectares,3786556.7357
tn_load,56195620.13369885
tp_load,4100625.0712229405
tss_load,2012355319.02265
tn_load_ps,26477470.636106584
tp_load_ps,2214209.1763966037
tn_load_avoid,453.3676999092148
tp_load_avoid,4103.550295753583
tss_load_avoid,182508.99283689607
tn_load_xsnps,-34918373.98080674
tp_load_xsnps,712583.306759336
tss_load_xsnps,-1485665793.4170098
tn_load_rem1,-34978771.543355025
tp_load_rem1,692185.388506129
tss_load_rem1,-1498725641.183832
tn_load_rem2,-34979835.53446495
tp_load_rem2,691808.650654174
tss_load_rem2,-1498890033.0819573
tn_load_rem3,-35000592.4264149
tp_load_rem3,671845.2265603379
tss_load_rem3,-1500866621.147335
